timestamp, utilization.gpu [%], memory.used [MiB]
2024/12/17 16:04:12.585, 0 %, 5771 MiB
2024/12/17 16:04:13.585, 100 %, 5771 MiB
2024/12/17 16:04:14.585, 0 %, 5771 MiB
2024/12/17 16:04:15.586, 100 %, 5771 MiB
2024/12/17 16:04:16.586, 0 %, 5771 MiB
2024/12/17 16:04:17.586, 100 %, 5771 MiB
2024/12/17 16:04:18.587, 0 %, 5771 MiB
2024/12/17 16:04:19.587, 100 %, 5771 MiB
2024/12/17 16:04:20.587, 0 %, 5771 MiB
2024/12/17 16:04:21.588, 100 %, 5771 MiB
2024/12/17 16:04:22.588, 0 %, 5771 MiB
2024/12/17 16:04:23.588, 100 %, 5771 MiB
2024/12/17 16:04:24.588, 0 %, 5771 MiB
2024/12/17 16:04:25.589, 100 %, 5771 MiB
2024/12/17 16:04:26.589, 0 %, 5771 MiB
2024/12/17 16:04:27.589, 100 %, 5771 MiB
2024/12/17 16:04:28.590, 0 %, 5771 MiB
2024/12/17 16:04:29.590, 100 %, 5771 MiB
2024/12/17 16:04:30.591, 0 %, 5771 MiB
2024/12/17 16:04:31.591, 100 %, 5771 MiB
2024/12/17 16:04:32.591, 0 %, 5771 MiB
2024/12/17 16:04:33.591, 100 %, 5771 MiB
2024/12/17 16:04:34.592, 0 %, 5771 MiB
2024/12/17 16:04:35.592, 100 %, 5771 MiB
2024/12/17 16:04:36.592, 0 %, 5771 MiB
2024/12/17 16:04:37.593, 100 %, 5771 MiB
2024/12/17 16:04:38.593, 0 %, 5771 MiB
2024/12/17 16:04:39.593, 100 %, 5771 MiB
2024/12/17 16:04:40.594, 0 %, 5771 MiB
2024/12/17 16:04:41.594, 100 %, 5771 MiB
2024/12/17 16:04:42.594, 0 %, 5771 MiB
2024/12/17 16:04:43.595, 100 %, 5771 MiB
2024/12/17 16:04:44.595, 0 %, 5771 MiB
2024/12/17 16:04:45.595, 100 %, 5771 MiB
2024/12/17 16:04:46.595, 0 %, 5771 MiB
2024/12/17 16:04:47.596, 100 %, 5771 MiB
2024/12/17 16:04:48.596, 0 %, 5771 MiB
